transcript	length	SRR2040575_brain	SRR2040576_brain	SRR2040577_heart	SRR2040578_heart	SRR2040579_liver	SRR2040580_liver	SRR2040581_testes	SRR2040582_testes	SRR2040583_testes
NM_014487.5_ZNF330	1914	12	10	41	34	12	13	36	20	0
NM_014485.2_HPGDS	1615	0	2	0	4	0	0	0	2	0
NM_014484.4_MOCS3	3050	21	12	5	8	6	26	39	40	286
NM_014483.3_RBMS3	1740	0	0	0	1	0	0	0	0	0
NM_014482.1_BMP10	1584	2	0	0	0	0	7	0	0	1
NM_014481.3_APEX2	2095	2	3	6	7	6	2	0	14	10
NM_014480.3_ZNF544	3550	3	4	4	3	1	1	9	3	11
NM_014479.3_ADAMDEC1	2348	0	0	0	0	0	0	0	2	0
NM_014478.4_CRCP	2820	17	17	0	9	3	17	6	11	9
NM_014477.2_TP53TG5	995	2	0	0	1	0	1	35	8	0
NM_014475.3_DHDH	1098	2	0	2	0	0	0	2	2	0
NM_014474.3_SMPDL3B	1934	0	0	0	0	0	0	1	2	0
NM_014473.2_DIMT1	1557	15	21	21	22	4	18	15	25	0
NM_014471.1_SPINK4	386	0	0	0	0	0	0	0	0	0
NM_014470.3_RND1	1665	120	71	4	4	34	263	1	2	0
NM_014469.4_RBMXL2	2215	0	0	0	0	0	0	120	50	88
NM_014466.2_TEKT2	1536	5	0	0	0	0	0	122	39	0
NM_014465.3_SULT1B1	1320	2	0	0	0	0	8	0	4	0
NM_014464.3_TINAG	1804	0	0	0	0	0	0	0	0	0
NM_014463.2_LSM3	695	38	20	60	16	50	41	80	44	0
NM_014462.2_LSM1	1161	33	18	22	18	9	18	26	42	0
NM_014461.3_CNTN6	3839	2	2	0	1	0	0	0	2	0
NM_014460.3_CSDC2	2545	36	18	162	95	0	3	30	92	23
NM_014458.3_KLHL20	3505	6	14	8	22	9	36	55	97	0
NM_014456.4_PDCD4	3644	12	10	14	8	8	65	54	66	2
NM_014455.3_RNF115	1949	32	52	46	171	10	13	45	51	0
NM_014454.2_SESN1	3212	42	28	23	6	4	7	40	72	0
NM_014453.3_CHMP2A	941	48	40	56	42	48	66	28	37	10
NM_014452.4_TNFRSF21	3646	153	72	26	10	5	18	43	33	0
NM_014451.3_BBS9	3899	4	2	2	2	0	2	16	12	0
NM_014450.2_SIT1	1238	0	0	0	0	0	2	0	0	22
NM_014449.1_GPR162	1514	78	64	0	5	2	0	0	0	0
NM_014447.3_ARFIP1	2896	0	2	0	2	2	6	12	15	0
NM_014445.3_SERP1	3181	88	64	64	86	94	493	84	134	20
NM_014444.4_TUBGCP4	4194	35	51	7	18	5	29	25	64	18
NM_014443.2_IL17B	711	0	0	0	0	0	0	0	2	0
NM_014442.2_SIGLEC8	2967	22	8	6	5	15	13	13	33	15
NM_014441.2_SIGLEC9	1737	0	0	1	2	0	2	2	5	0
NM_014440.2_IL36A	888	2	0	0	4	4	2	0	4	0
NM_014439.3_IL37	787	0	0	0	0	2	0	0	0	0
NM_014438.4_IL36B	1186	0	0	0	0	0	0	0	0	0
NM_014437.4_SLC39A1	2462	5	12	6	21	10	43	12	9	0
NM_014435.3_NAAA	1880	4	8	2	4	27	26	0	0	0
NM_014434.3_NDOR1	4850	5	5	4	0	0	4	12	14	6
NM_014433.2_RSPH14	1286	6	2	0	0	0	0	35	10	22
NM_014431.2_PALD1	4601	33	26	16	16	6	6	8	35	14
NM_014430.2_CIDEB	2252	2	6	6	2	60	64	2	6	0
NM_014429.3_MORC1	3790	0	2	0	0	0	2	52	87	0
NM_014427.4_CPNE7	2674	4	12	0	0	0	2	1	1	0
NM_014426.3_SNX5	2353	28	18	12	20	18	22	26	41	0
NM_014425.4_INVS	4980	5	6	7	11	4	12	21	6	9
NM_014424.4_HSPB7	2908	2	4	2404	3503	2	2	46	11	0
NM_014423.3_AFF4	9580	162	133	48	130	59	207	202	294	0
NM_014421.2_DKK2	3659	0	0	0	6	0	0	2	2	0
NM_014420.2_DKK4	835	2	0	0	0	0	0	4	5	0
NM_014419.3_DKKL1	1034	0	0	0	0	0	2	119	40	6
NM_014415.3_ZBTB11	5132	78	64	12	20	2	38	53	88	8
NM_014413.3_EIF2AK1	4465	72	86	60	18	50	82	66	84	8
NM_014412.2_CACYBP	3060	117	118	38	31	28	12	61	37	0
NM_014410.4_CLUL1	1951	2	4	0	0	0	0	0	2	0
NM_014409.3_TAF5L	3122	16	24	10	18	8	12	6	20	3
NM_014408.4_TRAPPC3	1333	22	14	11	5	8	4	31	22	8
NM_014407.3_KCNMB3	1492	0	0	0	0	0	2	0	6	0
NM_014406.4_CCT8L2	2065	0	0	2	0	0	0	62	26	34
NM_014405.3_CACNG4	3430	22	34	2	0	0	0	0	0	2
NM_014402.4_UQCRQ	1585	130	80	252	151	280	250	40	43	0
NM_014400.2_LYPD3	1745	1	0	0	0	0	0	0	4	2
NM_014399.3_TSPAN13	1912	109	134	12	51	20	100	9	36	0
NM_014398.3_LAMP3	3341	4	7	6	4	0	14	47	47	19
NM_014397.5_NEK6	2645	11	2	2	6	10	19	0	4	0
NM_014396.3_VPS41	4894	105	98	12	17	6	41	16	76	10
NM_014395.2_DAPP1	2953	1	0	7	2	1	3	5	6	24
NM_014394.2_GHITM	2449	562	488	389	295	244	338	449	294	0
NM_014393.2_STAU2	4161	24	47	3	10	0	4	12	14	4
NM_014391.2_ANKRD1	1994	0	0	1958	12757	0	2	4	1	0
NM_014390.2_SND1	3522	130	97	64	67	84	191	126	296	72
NM_014389.2_PELP1	3688	38	44	34	12	4	26	59	94	58
NM_014388.6_DIEXF	8505	30	36	20	23	9	58	21	36	34
NM_014387.3_LAT	1767	0	0	2	0	0	2	4	2	10
NM_014386.3_PKD2L2	2218	0	0	1	0	0	0	6	2	0
NM_014385.3_SIGLEC7	1769	0	0	2	6	0	0	4	2	4
NM_014384.2_ACAD8	2216	34	29	34	19	17	63	22	33	0
NM_014383.2_ZBTB32	2108	0	0	0	2	0	0	69	33	34
NM_014382.3_ATP2C1	4964	22	16	15	12	2	12	8	35	0
NM_014381.2_MLH3	7839	12	8	12	12	6	18	26	37	0
NM_014380.2_BEX3	984	52	86	18	6	0	10	16	29	2
NM_014379.3_KCNV1	6996	107	116	17	19	8	45	46	82	239
NM_014377.1_DNAJC2	2212	4	16	2	10	4	17	52	58	0
NM_014376.3_CYFIP2	6625	202	154	6	4	14	15	6	11	0
NM_014375.2_FETUB	1640	0	0	0	0	88	7	0	0	0
NM_014374.3_REPIN1	2894	24	24	12	6	4	12	8	4	0
NM_014373.2_GPR160	2021	0	0	0	5	0	4	4	9	0
NM_014372.4_RNF11	3082	292	284	36	107	46	98	73	115	0
NM_014371.3_AKAP8L	2231	23	44	30	21	8	43	57	94	0
NM_014370.3_SRPK3	2014	0	2	4	6	0	0	0	0	0
NM_014369.3_PTPN18	3686	16	16	24	15	15	49	1	15	0
NM_014368.4_LHX6	3444	8	10	2	4	0	2	2	0	0
NM_014367.3_FAM162A	838	68	53	110	72	60	21	48	16	0
NM_014366.4_GNL3	2048	22	19	14	60	10	112	28	39	0
NM_014365.2_HSPB8	2056	130	174	493	1063	4	4	28	64	4
NM_014364.4_GAPDHS	1492	0	6	0	0	3	0	405	136	50
NM_014363.5_SACS	15668	98	76	10	52	0	20	21	53	0
NM_014362.3_HIBCH	1958	18	27	4	6	6	69	28	22	0
NM_014361.3_CNTN5	6472	6	2	0	0	0	0	0	4	0
NM_014360.3_NKX2-8	1890	0	0	0	0	0	0	0	6	0
NM_014359.3_OPTC	1444	0	0	0	0	0	0	0	0	0
NM_014358.3_CLEC4E	2158	2	4	3	7	6	4	8	15	25
NM_014357.4_LCE2B	619	0	0	0	0	0	0	0	0	0
NM_014352.3_POU2F3	3013	0	1	2	0	0	4	0	1	0
NM_014351.3_SULT4A1	2465	450	362	0	0	0	0	18	37	10
NM_014350.3_TNFAIP8	2103	0	2	0	0	0	0	0	0	2
NM_014349.2_APOL3	2444	0	2	10	11	10	7	1	2	0
NM_014347.2_ZNF324	3231	24	13	6	2	2	6	12	21	14
NM_014345.2_ZNF318	8021	54	38	9	23	14	50	261	296	4
NM_014344.3_FJX1	2701	24	26	2	6	2	3	0	0	0
NM_014343.2_CLDN15	1384	0	6	3	0	4	0	2	2	0
NM_014342.3_MTCH2	2628	35	29	16	6	33	20	80	66	2
NM_014341.2_MTCH1	2283	278	237	109	88	37	64	46	115	4
NM_014339.6_IL17RA	8608	18	14	14	17	18	21	14	31	20
NM_014338.3_PISD	2693	57	74	26	25	18	36	61	93	0
NM_014336.4_AIPL1	2990	0	2	2	0	1	4	2	7	11
NM_014335.2_EID1	2096	296	300	120	184	48	103	72	206	18
NM_014334.2_FRRS1L	1189	42	30	0	0	0	0	1	2	0
NM_014333.3_CADM1	4324	32	26	2	4	8	11	24	40	1
NM_014332.2_SMPX	951	2	2	210	353	0	0	0	1	0
NM_014330.3_PPP1R15A	2399	34	36	116	145	4	45	16	79	0
NM_014329.4_EDC4	4811	80	58	34	28	10	48	81	124	39
NM_014326.3_DAPK2	2628	10	14	32	20	6	11	9	5	20
NM_014325.3_CORO1C	3858	42	34	20	39	8	22	25	43	4
NM_014324.5_AMACR	3352	12	16	4	0	38	12	6	4	0
NM_014323.2_PATZ1	3812	6	2	4	1	2	7	6	10	0
NM_014322.2_OPN3	2632	36	50	6	2	20	28	15	7	0
NM_014321.3_ORC6	1644	13	26	23	10	4	19	55	61	45
NM_014320.2_HEBP2	1282	8	12	100	75	64	95	18	11	0
NM_014319.4_LEMD3	4798	22	12	2	16	2	8	33	50	0
NM_014317.4_PDSS1	1921	2	2	0	0	0	2	3	6	12
NM_014314.3_DDX58	4759	15	35	23	6	14	25	28	100	30
NM_014313.3_TMEM50A	2327	117	96	47	56	34	55	47	85	30
NM_014312.3_VSIG2	1138	3	4	2	4	0	4	2	2	0
NM_014311.2_SMUG1	2719	4	2	4	1	4	18	6	12	0
NM_014310.3_RASD2	3047	110	80	8	0	0	43	6	10	0
NM_014309.2_RBFOX2	6948	70	76	20	10	15	17	12	38	2
NM_014308.3_PIK3R5	4449	0	0	0	2	4	0	2	2	0
NM_014306.4_RTCB	2081	102	58	44	31	34	79	86	122	0
NM_014305.3_TGDS	1970	4	4	6	9	8	22	6	12	0
NM_014303.3_PES1	2312	13	7	8	15	10	13	10	27	6
NM_014302.3_SEC61G	484	20	14	18	26	10	69	26	39	0
NM_014301.4_ISCU	2244	54	44	62	48	8	28	15	30	0
NM_014300.3_SEC11A	1424	4	8	10	19	12	16	10	26	0
NM_014299.2_BRD4	4635	28	30	14	28	18	44	45	69	12
NM_014297.4_ETHE1	990	4	2	6	4	10	11	2	0	0
NM_014296.2_CAPN7	4385	29	34	41	15	4	63	48	76	0
NM_014294.5_TRAM1	3099	14	12	24	47	32	185	63	89	0
NM_014293.3_NPTXR	5831	668	501	15	4	6	13	22	39	37
NM_014292.4_CBX6	6165	209	195	19	4	6	18	8	18	17
NM_014291.3_GCAT	1504	28	10	10	16	32	8	8	13	0
NM_014290.2_TDRD7	3785	30	16	4	2	8	11	92	120	0
NM_014288.4_ITGB3BP	1019	4	2	0	0	0	2	26	10	0
NM_014287.3_NOMO1	4261	128	186	80	65	36	64	76	170	0
NM_014286.3_NCS1	5009	480	570	8	4	4	4	4	14	8
NM_014285.6_EXOSC2	2034	8	6	3	8	10	4	7	16	7
NM_014284.2_NCDN	3718	444	304	22	8	2	3	5	19	24
NM_014283.4_SUCO	5671	14	4	2	4	0	12	32	71	0
NM_014282.3_HABP4	2681	236	277	34	32	4	17	107	48	0
NM_014281.4_PUF60	1897	22	10	16	8	16	10	10	12	0
NM_014280.2_DNAJC8	1765	97	84	64	60	54	69	86	67	8
NM_014279.4_OLFM1	2879	362	242	7	0	0	2	2	8	8
NM_014278.3_HSPA4L	4077	14	13	2	2	0	14	184	89	0
NM_014276.3_RBPJL	2499	0	0	0	0	0	0	0	0	0
NM_014272.4_ADAMTS7	5552	4	12	13	6	0	3	16	31	41
NM_014271.3_IL1RAPL1	2679	8	8	0	0	0	0	2	4	0
NM_014270.4_SLC7A9	1789	0	0	0	0	5	2	0	0	0
NM_014269.4_ADAM29	3325	0	0	0	0	0	0	30	8	8
NM_014268.3_MAPRE2	4279	134	104	30	44	6	16	8	11	0
NM_014266.3_HCST	524	2	1	0	0	0	2	0	0	0
NM_014265.5_ADAM28	7070	0	5	1	0	0	6	1	5	10
NM_014264.4_PLK4	3870	2	0	0	2	0	2	59	27	0
NM_014263.3_YME1L1	4232	40	58	40	49	24	50	66	120	10
NM_014262.4_P3H3	2690	8	14	21	16	2	9	8	18	0
NM_014258.3_SYCP2	5595	8	12	2	2	2	0	195	216	0
NM_014257.4_CLEC4M	1976	2	0	0	0	10	4	0	5	0
NM_014256.3_B3GNT3	2720	1	2	2	4	6	9	8	2	0
NM_014255.5_CNPY2	1247	32	43	20	19	54	87	16	31	4
NM_014254.2_TMEM5	1963	10	14	8	8	2	18	23	18	48
NM_014253.3_TENM1	12886	6	2	0	0	6	5	7	6	4
NM_014252.3_SLC25A15	4038	27	35	21	10	273	116	98	132	147
NM_014251.2_SLC25A13	3204	18	2	5	2	62	77	5	40	10
NM_014249.3_NR2E3	2004	0	1	0	0	2	4	2	2	0
NM_014248.3_RBX1	906	68	53	41	33	40	54	38	39	0
NM_014247.2_RAPGEF2	6824	325	260	50	40	42	52	28	72	9
NM_014246.1_CELSR1	11389	20	26	4	9	14	2	6	27	0
NM_014245.4_RNF7	2010	18	24	22	32	12	30	40	34	46
NM_014244.4_ADAMTS2	6772	8	2	15	17	8	47	10	9	0
NM_014243.2_ADAMTS3	5836	6	10	2	2	2	8	37	28	0
NM_014241.3_HACD1	1323	2	2	36	33	0	2	0	2	4
NM_014240.2_LIMD1	6284	15	13	60	83	60	77	22	65	40
NM_014239.3_EIF2B2	1557	48	22	20	27	10	22	42	74	12
NM_014238.1_KSR1	4552	20	21	14	8	0	12	70	46	0
NM_014237.2_ADAM18	2399	0	0	0	0	3	0	30	8	0
NM_014236.3_GNPAT	2687	18	30	24	19	10	21	70	41	0
NM_014235.4_UBL4A	2395	108	84	56	20	20	34	4	17	0
NM_014233.3_UBTF	4832	44	40	40	16	16	32	24	28	10
NM_014232.2_VAMP2	2173	1168	845	96	47	32	58	70	123	84
NM_014230.3_SRP68	2850	46	36	24	24	24	34	31	44	0
NM_014229.2_SLC6A11	4296	108	41	0	0	0	0	17	4	0
NM_014228.4_SLC6A7	3852	73	120	2	0	0	2	0	0	0
NM_014227.2_SLC5A4	2029	2	0	2	0	0	0	3	8	0
NM_014226.2_MOK	1978	1	8	6	8	4	4	75	27	0
NM_014225.5_PPP2R1A	2519	630	442	318	183	44	124	139	297	6
NM_014224.4_PGA5	1408	0	0	0	0	0	0	0	0	0
NM_014223.4_NFYC	2105	10	6	4	6	4	5	10	7	0
NM_014222.2_NDUFA8	859	64	46	139	74	44	21	82	34	2
NM_014220.2_TM4SF1	1712	12	26	130	478	26	66	45	54	0
NM_014217.3_KCNK2	3274	6	9	1	4	0	4	3	18	10
NM_014215.2_INSRR	4193	4	0	6	2	2	8	12	11	0
NM_014214.2_IMPA2	1537	2	6	16	10	8	31	2	4	0
NM_014213.3_HOXD9	1902	0	0	0	2	2	0	2	6	0
NM_014211.2_GABRP	3310	0	0	0	2	0	2	0	0	0
NM_014210.3_EVI2A	2869	46	48	0	2	0	0	4	4	2
NM_014209.3_ETV2	1510	0	0	0	0	0	2	2	7	0
NM_014208.3_DSPP	4331	0	0	0	0	0	2	2	0	0
NM_014207.3_CD5	3180	0	0	2	0	2	4	2	9	0
NM_014206.3_TMEM258	420	63	9	64	65	41	88	45	37	0
NM_014205.3_ZNHIT2	1358	2	8	6	0	0	6	72	10	52
NM_014203.2_AP2A1	3499	153	118	34	22	20	48	154	111	36
NM_014191.3_SCN8A	11570	220	181	5	0	2	12	12	47	10
NM_014190.3_ADD1	4004	112	100	40	24	8	22	36	58	16
NM_014189.3_ADD1	4063	112	108	50	30	18	18	42	66	22
NM_014188.2_SSU72	1319	144	117	100	55	56	37	68	31	0
NM_014187.3_TMEM208	808	4	20	6	2	20	57	14	22	0
NM_014184.3_CNIH4	1637	6	6	5	4	6	10	8	10	0
NM_014183.3_DYNLRB1	717	50	49	28	12	6	10	4	11	0
NM_014182.4_ORMDL2	1361	6	10	6	18	18	19	24	12	0
NM_014181.2_LGALSL	3842	42	44	10	8	10	10	10	25	22
NM_014180.3_MRPL22	3190	29	15	19	23	14	42	44	23	44
NM_014178.7_STXBP6	4418	34	32	14	10	0	3	4	7	0
NM_014177.2_TIMM21	1562	42	33	62	24	10	30	20	21	0
NM_014176.3_UBE2T	935	14	4	0	4	0	0	22	11	0
NM_014175.3_MRPL15	1749	77	58	103	42	52	34	21	52	18
NM_014174.2_THYN1	1323	28	16	6	6	0	12	6	14	0
NM_014173.3_BABAM1	1467	36	32	16	9	18	22	16	21	8
NM_014172.5_PHPT1	1199	22	16	41	48	10	17	20	22	0
NM_014171.5_CRIPT	6366	56	75	39	29	29	60	58	167	422
NM_014170.2_GTPBP8	1364	0	3	10	6	0	3	24	18	0
NM_014169.3_CHMP4A	1372	42	44	41	42	44	41	25	37	2
NM_014168.3_METTL5	1040	15	16	10	5	2	6	6	6	0
NM_014167.4_CCDC59	1617	14	4	20	30	2	27	46	44	0
NM_014166.3_MED4	2287	28	24	19	10	10	25	34	66	0
NM_014165.3_NDUFAF4	2411	80	86	36	52	4	21	16	32	2
NM_014164.5_FXYD5	914	0	0	8	11	0	2	0	2	0
NM_014161.4_MRPL18	1009	44	36	36	34	18	21	54	32	0
NM_014160.4_MKRN2	2859	42	25	26	9	16	14	91	79	0
NM_014155.4_ZBTB44	9351	25	43	9	23	12	42	136	145	0
NM_014154.4_ARMC8	3236	14	14	4	4	0	6	6	18	0
NM_014153.3_ZC3H7A	3817	68	44	38	52	34	120	43	83	38
NM_014149.3_WDR91	4619	27	45	7	6	29	61	64	66	9
NM_014146.3_LAT2	2010	3	0	0	2	0	4	0	0	0
NM_014145.4_TMEM230	1699	32	26	18	11	18	30	24	23	0
NM_014143.3_CD274	3691	0	4	2	8	0	2	2	0	0
NM_014142.3_NUDT5	3465	12	17	4	8	22	24	12	11	0
NM_014141.5_CNTNAP2	9894	393	428	5	5	14	5	12	22	1
NM_014140.3_SMARCAL1	3281	16	12	4	6	4	4	30	14	0
NM_014139.2_SCN11A	6500	3	11	5	4	5	1	9	16	9
NM_014138.4_FAM156A	2248	2	4	0	0	2	5	2	6	4
NM_014112.4_TRPS1	10017	4	7	8	15	6	0	29	23	2
NM_014110.4_PPP1R8	2377	22	15	14	18	2	16	20	37	0
NM_014109.3_ATAD2	5580	16	16	8	2	6	20	159	228	16
NM_014106.3_ZNF770	5453	70	79	46	33	25	63	62	147	1
NM_014096.3_SLC43A3	2904	0	0	8	18	8	88	0	2	34
NM_014089.3_NUP58	4335	26	28	16	20	13	21	112	145	10
NM_014080.4_DUOX2	6428	4	2	0	2	0	20	0	14	0
NM_014079.3_KLF15	2539	24	23	22	4	121	37	2	12	14
NM_014078.5_MRPL13	1119	28	26	38	32	24	28	28	18	0
NM_014077.3_FAM32A	1488	88	56	44	12	60	74	47	62	0
NM_014071.4_NCOA6	7090	37	48	10	10	10	13	53	81	12
NM_014069.2_PSORS1C2	1185	0	0	0	0	0	0	1	4	0
NM_014068.2_PSORS1C1	913	0	2	0	4	0	2	52	19	30
NM_014067.3_MACROD1	1277	14	18	44	28	34	12	3	2	0
NM_014066.3_COMMD5	1475	16	4	2	6	0	0	0	1	0
NM_014065.3_ASTE1	2736	5	4	4	6	6	15	18	17	0
NM_014064.3_NTMT1	1536	10	2	0	0	0	7	8	15	4
NM_014063.6_DBNL	2213	22	12	6	4	4	13	6	15	0
NM_014062.2_NOB1	1775	26	16	12	27	20	10	20	49	2
NM_014061.4_MAGEH1	1485	128	80	14	8	12	20	40	80	0
NM_014060.2_MCTS1	9805	27	59	31	37	18	74	36	51	94
NM_014059.2_RGCC	1126	90	62	43	41	2	6	23	16	0
NM_014058.3_TMPRSS11E	2136	0	0	2	0	0	0	0	0	0
NM_014057.4_OGN	3536	0	0	32	4	0	0	10	25	0
NM_014056.3_HIGD1A	2781	125	93	62	77	50	182	48	44	0
NM_014055.3_IFT81	3160	10	16	4	0	0	2	55	51	0
NM_014053.3_FLVCR1	5947	14	33	8	5	5	52	33	81	110
NM_014051.3_TMEM14A	1015	70	49	6	4	40	6	13	18	0
NM_014050.3_MRPL42	3139	4	9	4	19	12	17	21	46	8
NM_014049.4_ACAD9	2608	40	48	72	19	38	47	46	67	0
NM_014048.4_MKL2	8684	139	126	14	7	4	16	52	84	0
NM_014047.2_C19orf53	934	34	34	42	38	54	78	41	26	0
NM_014045.3_LRP10	3252	36	32	88	85	22	183	16	62	0
NM_014044.5_UNC50	1167	43	43	28	19	9	47	45	69	0
NM_014043.3_CHMP2B	2643	22	26	10	16	7	31	24	33	0
NM_014042.2_ANAPC15	882	6	1	2	2	2	0	9	3	0
NM_014041.3_SPCS1	1100	78	69	65	39	56	104	167	111	4
NM_014039.3_C11orf54	2444	0	7	4	8	6	13	3	11	2
NM_014038.2_BZW2	1867	36	18	118	87	8	14	12	12	0
NM_014037.2_SLC6A16	2945	0	0	0	2	14	5	349	207	34
NM_014035.2_SNX24	2140	25	24	10	11	12	20	14	14	0
NM_014034.2_ASF1A	2525	32	29	10	17	4	6	40	40	0
NM_014033.3_METTL7A	3390	133	105	39	7	810	127	37	113	24
NM_014031.4_SLC27A6	3006	0	0	20	2	0	0	6	13	0
NM_014030.3_GIT1	3751	108	114	17	17	2	2	211	96	51
NM_014028.3_OSTM1	4467	30	37	20	47	12	50	44	83	18
NM_014026.4_DCPS	1501	10	8	12	14	32	54	14	8	0
NM_014023.3_WDR37	4611	84	74	43	12	8	28	42	47	0
NM_014021.3_SSX2IP	5897	50	24	0	0	4	0	77	53	4
NM_014020.3_TMEM176B	1444	4	2	26	23	234	107	2	2	0
NM_014018.2_MRPS28	724	27	12	52	34	33	19	6	15	0
NM_014017.3_LAMTOR2	699	20	22	27	24	22	42	14	14	0
NM_014016.4_SACM1L	3760	40	33	8	21	10	20	15	40	0
NM_014015.3_DEXI	1580	58	49	73	23	36	68	12	25	0
NM_014014.4_SNRNP200	7230	193	189	110	95	92	180	313	517	48
NM_014012.5_REM1	1689	0	0	12	2	0	0	2	5	4
NM_014011.4_SOCS5	4422	20	18	8	23	0	12	19	39	0
NM_014009.3_FOXP3	2397	2	0	0	0	2	0	0	4	0
NM_014008.4_CCDC22	2333	18	10	16	10	6	3	6	10	0
NM_014007.3_ZBTB43	5974	26	9	23	28	4	43	49	122	13
NM_014003.3_DHX38	4470	80	45	65	43	26	80	61	140	12
NM_014002.3_IKBKE	3492	4	2	0	0	0	0	0	0	0
NM_014001.4_GGA3	3850	8	16	4	6	2	10	14	24	0
NM_014000.2_VCL	5647	17	27	128	121	8	25	98	240	88
NM_013999.3_MEOX1	2157	0	0	2	20	0	0	0	0	0
NM_013998.2_TAC1	1089	4	4	0	0	0	0	0	0	0
NM_013997.2_TAC1	1143	8	10	0	1	0	0	0	0	0
NM_013996.2_TAC1	1134	4	0	0	0	0	0	0	0	0
NM_013995.2_LAMP2	4076	152	101	21	54	34	95	40	134	8
NM_013992.3_PAX8	3653	2	0	0	0	0	2	2	5	0
NM_013989.4_DIO2	6148	12	16	2	13	0	0	5	6	0
NM_013988.2_PARK2	3626	14	15	4	5	0	10	26	23	23
NM_013987.2_PARK2	3989	16	10	2	4	2	4	4	8	8
NM_013986.3_EWSR1	2694	48	34	25	38	28	63	85	103	44
NM_013983.2_NRG2	3945	4	0	0	0	0	0	0	0	1
NM_013982.2_NRG2	3963	2	2	0	0	0	0	2	4	0
NM_013981.3_NRG2	3921	0	4	0	0	0	0	0	0	0
NM_013980.2_BNIP1	1286	4	0	0	3	0	0	2	0	0
NM_013979.2_BNIP1	1388	2	4	0	6	4	6	10	2	0
NM_013978.2_BNIP1	1157	0	0	2	2	6	0	4	6	0
NM_013976.3_GCDH	1665	6	4	4	3	54	14	0	8	0
NM_013975.3_LIG3	3722	18	15	6	13	6	14	41	48	20
NM_013974.2_DDAH2	1353	6	12	33	8	6	11	18	10	2
NM_013964.4_NRG1	6012	0	0	0	2	0	4	0	0	2
NM_013962.2_NRG1	1987	1	0	2	0	0	0	0	2	0
NM_013960.4_NRG1	6154	4	0	0	4	2	0	0	0	0
NM_013959.3_NRG1	2374	4	0	0	0	0	0	0	2	0
NM_013958.3_NRG1	1740	0	0	0	0	0	0	0	2	0
NM_013957.4_NRG1	6003	4	2	0	0	0	0	0	0	0
NM_013956.4_NRG1	6027	0	0	0	0	0	0	0	0	0
NM_013955.2_NOX1	2382	0	0	0	0	0	0	0	0	0
NM_013953.3_PAX8	3755	2	0	0	0	0	0	0	2	2
NM_013952.3_PAX8	3986	0	0	0	0	0	0	2	4	6
NM_013945.2_PAX7	2265	0	0	0	0	0	2	0	2	0
NM_013943.2_CLIC4	4452	98	106	287	846	54	94	125	266	0
NM_013942.4_PAX3	1095	0	0	0	0	0	0	0	0	0
NM_013940.2_OR10H1	1120	0	0	0	0	0	0	0	0	20
NM_013939.2_OR10H2	1029	0	0	0	0	0	0	0	0	0
NM_013938.1_OR10H3	951	0	0	0	0	2	0	0	0	0
NM_013936.3_OR12D2	1033	0	0	0	0	0	0	0	0	0
NM_013453.3_SPANXA1	418	0	0	0	0	0	0	15	4	0
NM_013452.2_VCX	976	0	0	0	0	0	0	32	14	112
NM_013450.3_BAZ2B	8198	10	29	10	8	12	13	110	113	0
NM_013449.3_BAZ2A	8934	38	28	46	39	19	82	147	285	56
NM_013448.2_BAZ1A	6031	8	2	8	15	6	39	127	121	18
NM_013447.3_ADGRE2	6483	3	8	5	7	19	12	9	27	2
NM_013446.3_MKRN1	3158	82	68	55	34	34	56	358	316	30
NM_013445.3_GAD1	1272	70	44	0	0	0	0	0	1	0
NM_013444.3_UBQLN2	3418	98	118	28	31	32	61	12	32	0
NM_013442.2_STOML2	1431	24	6	20	12	18	8	20	16	14
NM_013441.3_RCAN3	2787	0	0	0	0	0	2	0	2	0
NM_013439.2_PILRA	1323	0	4	4	2	0	2	4	1	0
NM_013438.4_UBQLN1	4177	177	136	29	51	26	92	56	107	0
NM_013437.4_LRP12	4149	20	14	10	14	0	4	8	26	0
NM_013436.4_NCKAP1	4997	266	198	41	103	16	52	37	162	0
NM_013435.2_RAX	3197	0	0	0	0	0	0	0	0	0
NM_013434.4_KCNIP3	2928	74	38	3	1	0	4	4	16	6
NM_013433.4_TNPO2	4905	116	129	20	12	8	12	66	88	12
NM_013432.4_TONSL	4519	14	15	5	8	10	20	29	40	45
NM_013431.2_KLRC4	928	0	0	0	0	0	1	0	0	0
NM_013430.2_GGT1	2381	0	1	3	0	4	9	2	27	24
NM_013427.2_ARHGAP6	5118	0	4	2	2	4	8	0	3	4
NM_013423.2_ARHGAP6	3947	0	2	0	6	0	0	0	10	0
NM_013421.2_GGT1	2621	4	5	2	0	6	12	8	20	12
NM_013417.3_IARS	4716	96	77	58	116	8	90	46	106	0
NM_013416.3_NCF4	1646	0	0	0	6	0	8	0	6	0
NM_013412.3_RABL2A	2198	2	17	3	4	0	7	7	8	23
NM_013411.4_AK2	3671	2	4	17	11	16	29	13	20	6
NM_013410.3_AK4	6881	40	28	42	40	48	54	24	82	22
NM_013409.2_FST	1834	0	0	6	2	2	73	4	6	8
NM_013406.2_DHPS	1220	14	11	0	0	6	10	10	12	0
NM_013404.4_MSLN	2154	2	0	0	0	0	0	2	0	0
NM_013403.2_STRN4	3221	68	30	38	16	14	22	74	126	6
NM_013402.4_FADS1	4432	108	143	48	34	144	23	48	129	27
NM_013401.3_RAB3IL1	2392	8	6	20	12	2	3	57	30	28
